"notation","title","description","id","title_en","description_en"
"","Stufe I","Mindeststandard verfehlt","q6a",,
"","Stufe II","Mindeststandard","u4h",,
"","Stufe III","Regelstandard","b9t",,
"","Stufe IV","Regelstandard plus","a3b",,
"","Stufe V","Optimalstandard","c4x",,
