"notation","title","description","id","title_en","description_en"
"","Kompetenzstufe Ia","Phonographische und einfache silbische Schreibungen sowie Großschreibung von Konkreta","d3s",,
"","Kompetenzstufe Ib","Ansatzweise Markierung von Vokalkürze und Vokallänge, Schreibungen mit konsonantischen und vokalischen Ableitungen sowie Großschreibung von Abstrakta","v5a",,
"","Kompetenzstufe II","Teilweise Beachtung von Morphemkonstanz, Großschreibung von Nominalisierungen und Zeichensetzung","p3e",,
"","Kompetenzstufe III","Weitgehendes Beherrschen von Wortschreibungs- und Zeichensetzungsregeln","t2z",,
"","Kompetenzstufe IV","Identifizierung von Fehlerschwerpunkten, Ableitung von Rechtschreibregeln und Beherrschen der Zeichensetzung","s5f",,
"","Kompetenzstufe V","Korrektur schwer ableitbarer und morphologisch komplexer Wörter sowie sicheres Beherrschen der Zeichensetzung","p3u",,
