"notation","title","description","id","title_en","description_en"
"","Kompetenzstufe I","prominente Einzelinformationen wiedererkennen","r2r",,
"","Kompetenzstufe II","benachbarte Informationen verknüpfen und weniger prominente Einzelinformationen wiedergeben","q4u",,
"","Kompetenzstufe III","verstreute Informationen miteinander verknüpfen und den Text ansatzweise als Ganzen erfassen","u9c",,
"","Kompetenzstufe IV","auf der Ebene des Textes wesentliche Zusammenhänge erkennen und Details im Kontext verstehen","h7u",,
"","Kompetenzstufe V","auf zentrale Aspekte des Textes bezogene Aussagen eigenständig beurteilen und begründen","c5h",,
