"notation","title","description","id","title_en","description_en"
"1","A1","","z9y",,
"1.1","A1.1","","g2z",,
"1.2","A1.2","","q2v",,
"2","A2","","f7g",,
"2.1","A2.1","","r9u",,
"2.2","A2.2","","b4y",,
"3","B1","","c2f",,
"3.1","B1.1","","f5p",,
"3.2","B1.2","","r7s",,
"4","B2","","y6b",,
"4.1","B2.1","","s5g",,
"4.2","B2.2","","d7z",,
"5","C1","","p4r",,
