"notation","title","description","id","title_en","description_en"
"","Kompetenzstufe I","Erkennen überprüfbarer Fragestellungen und Kennen einfacher Versuchsanordnungen und Modelle","e9g",,
"","Kompetenzstufe II","Nutzen einfacher Modelle, Anwenden einzelner Schritte der naturwissenschaftlichen Erkenntnisgewinnung","f3d",,
"","Kompetenzstufe III","Anwenden von naturwissenschaftlichen Methoden der Erkenntnisgewinnung und Modellen in einfachen fachlichen Zusammenhängen","q7e",,
"","Kompetenzstufe IV","Begründetes Auswählen und Nutzen von naturwissenschaftlichen Methoden der Erkenntnisgewinnung (Experimente und Modelle) in komplexen Zusammenhängen","s4e",,
"","Kompetenzstufe V","Berücksichtigung von Möglichkeiten und Grenzen von Experimenten und Modellen","y3r",,
