"notation","title","description","id","title_en","description_en"
"","Kompetenzstufe I","Erkennen überprüfbarer Fragestellungen, Kennen einfacher Versuchsanordnungen und Modelle","d2z",,
"","Kompetenzstufe II","Nutzen einfacher Modelle, Anwenden einzelner Schritte der naturwissenschaftlichen Erkenntnisgewinnung","d2p",,
"","Kompetenzstufe III","Anwenden von naturwissenschaftlichen Methoden der Erkenntnisgewinnung und von Modellen in einfachen fachlichen Zusammenhängen","c7c",,
"","Kompetenzstufe IV","Begründetes Auswählen und Nutzen von naturwissenschaftlichen Methoden der Erkenntnisgewinnung (Experimente und Modelle) in komplexen Zusammenhängen","a4h",,
"","Kompetenzstufe V","Berücksichtigung von Möglichkeiten und Grenzen von Experimenten und Modellen","t4f",,
