"notation","title","description","id","title_en","description_en"
"","Kompetenzstufe I","Erkennen von Elementen naturwissenschaftlicher Erkenntnisgewinnung","t7x",,
"","Kompetenzstufe II","Nutzen von Elementen naturwissenschaftlicher Erkenntnisgewinnung","r6g",,
"","Kompetenzstufe III","Anwenden und Begründen von Methoden naturwissenschaftlicher Erkenntnisgewinnung","t4y",,
"","Kompetenzstufe IV","Erklären und Prüfen von Methoden naturwissenschaftlicher Erkenntnisgewinnung in komplexen Zusammenhängen","f6u",,
"","Kompetenzstufe V","Reflektieren von Methoden naturwissenschaftlicher Erkenntnisgewinnung in komplexen Zusammenhängen","d6e",,
